Variable,ParamWeight
contact_quality,-0.2964986635605223
identification_sol,0.24702280596146386
symbolic,0.19578157080062789
generalized,0.15318988114016466
contact_friendsz,-0.126642632207606
sThreat3,0.09327270041314537
identification_selfinvestment,0.09201965968145313
identification_sat,0.06583571116360885
rThreatIG1,-0.05859217868582368
DisgustS4,-0.0351567372516493
Identification5,0.032190084210284256
DisgustP5,-0.027551832597550285
disgust_r,-0.012864456096006043
generalized_challdiff,0.008411972231404908
DisgustR1,-0.007403800894265882
Identification3,0.0049990698390576524
Agreeable2,0.0032952506823822805
DisgustP6,-0.002242709025855491
sThreat1,0
sThreat2,0
sThreat4,0
Identification1,0
Identification2,0
Identification4,0
Identification6,0
Identification7,0
Identification8,0
Identification9,0
Identification10,0
ContactQ1,0
ContactQ2,0
ContactQ3,0
ContactN1,0
Agreeable1,0
rThreatIG2,0
rThreatOG1,0
rThreatOG2,0
DisgustP1,0
DisgustP2,0
DisgustP3,0
DisgustP4,0
DisgustS1,0
DisgustS2,0
DisgustS3,0
DisgustR2,0
identification_cen,0
contact_friends,0
b5a,0
generalized_probdiff,0
disgust_p,0
disgust_s,0
