Variable,ParamWeight,,,Description,Transformation,
sThreat3_log,0.3356561825135088,,,America’s cultural life is generally enriched by [outgroup] (Reversed),log10,
rThreatIG1_log,-0.33,,,"In general, I feel that [ingroup] pose a challenge for people like me",log10,
identification_sol_gmc,0.24724388764945798,,,Ingroup Identification (Solidarity),grand-mean-centered,
generalized_gmc,0.13841787745339326,,,Generalized Threat,grand-mean-centered,
contact_quality_gmc,-0.12,,,Contact Quality,grand-mean-centered,
symbolic_gmc,0.11705516641600952,,,Symbolic Threat,grand-mean-centered,
contact_friendsz_gmc,-0.11,,,Contact # of Friends,grand-mean-centered,
identification_sat_gmc,0.059223255047007345,,,Ingroup Identification (Satisfaction),grand-mean-centered,
identification_selfinvestment_gmc,0.06,,,Ingroup Identification Self-Investment (all subfactors),grand-mean-centered,
Agreeable1_d_disgust_p_mD_log,-0.05,,,"Dissimilarity between response on ""I see myself as someone who tends to find fault with others (Reversed)"" and Disgust Propensity","mahalanobis distance, log10",
sThreat3_gmc,0.04,,,America’s cultural life is generally enriched by [outgroup] (Reversed),grand-mean-centered,
contact_quality_cubid,-0.04,,,Contact Quality,cubed,
Identification5_gmc,0.031632952399824624,,,I think that [ingroup] have a lot to be proud of,grand-mean-centered,
identification_selfinvestment_squared,0.026787475723887372,,,Ingroup Identification Self-Investment (all subfactors),squared,
sThreat1_d_rThreatOG2_mD_log,0.025052289616626845,,,"Dissimilarity between response on ""American norms and family values are being threatened because of the presence of [outgroup]"" and ""In general, I feel that [outgroup] pose problems for people like me""","mahalanobis distance, log10",
contact_quality_squared,-0.02,,,Contact Quality,squared,
Identification2_d_generalized_probdiff_mD_log,0.02,,,"Dissimilarity between response on ""I feel solidarity with [ingroup]"" and generalized_probdiff (Generalized Outgroup Threat on the ""Problem"" Item)","mahalanobis distance, log10",
symbolic_squared,0.02,,,Symbolic Threat,squared,
Identification7_d_identification_sol_mD_log,0.02,,,,,
Identification2_d_rThreatIG2_mD_log,0.015176712731302836,,,,,
