Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
0.77681154,0.21436018,3.1322038,-0.1130107,0.57122422,1.181256136,-0.108174334,2.275280899
-0.01471851,2.21552982,-0.36199203,0.4249995,-0.07072545,0.672899925,1.208432165,1.275280899
0.30399193,-0.82455148,0.56590627,-0.6510209,-1.99657443,0.998688763,-0.625594854,-0.724719101
-0.80338156,0.29101387,-0.35936983,0.1647995,-0.07072545,-0.357383061,-0.145425918,0.275280899
-0.01471851,-0.59459041,-0.35150325,0.1647995,-0.07072545,-1.061043541,-0.766514905,-0.724719101
0.93329976,-1.63350207,0.56328408,-1.0325157,1.85512354,0.355942409,-0.875005286,-0.724719101
0.62270238,-0.82455148,-0.36723642,0.5639046,-0.07072545,-0.824590501,1.258595244,0.275280899
0.77394454,-1.63350207,-0.35412545,-0.9112209,0.57122422,-0.299388706,-0.250726571,-0.724719101
-0.01471851,-0.44128302,-0.35150325,0.7028097,-0.07072545,-0.312167491,1.258595244,0.275280899
-0.33056195,-0.41246841,-0.35674764,0.7028097,-0.07072545,0.025768432,-0.564077823,-0.724719101
-0.01471851,2.21552982,-0.36461422,0.3037047,-0.07072545,0.292980335,0.121717923,-0.724719101
-0.01471851,-0.6712441,-0.35150325,-1.050126,-0.07072545,-0.722874578,-0.704997874,-0.724719101
0.14463671,0.21436018,-0.36199203,0.3037047,-0.24306467,0.283437869,-0.130882238,0.275280899
-0.01471851,-0.6712441,1.95743992,0.0258944,0.39888499,0.56123339,-1.356731765,2.275280899
0.46334716,1.98556874,-0.35936983,0.7028097,-0.07072545,-0.430039336,1.247241293,-0.724719101
-0.33056195,-0.41246841,3.70770121,-0.1130107,-0.07072545,1.772099841,-1.707487182,-0.724719101
-0.01471851,0.29101387,-0.36461422,-0.9112209,0.10161378,0.14327337,-0.766514905,-0.724719101
-0.01471851,2.21552982,-0.35936983,0.7028097,-0.07072545,0.573741022,1.247241293,-0.724719101
0.29825794,-0.51793671,-0.35936983,0.7028097,-0.07072545,-0.232797459,1.258595244,0.275280899
-0.17120673,0.29101387,1.02691942,0.1647995,-0.54033588,0.467730166,-0.014227634,2.275280899
0.14463671,-0.6712441,-0.35936983,-0.1130107,-0.8376071,0.429382595,-0.708187603,0.275280899
-0.33056195,-0.41246841,-0.35936983,-0.7723157,-0.07072545,0.10697597,1.258595244,0.275280899
2.82646931,-1.71015576,-0.35150325,-1.0325157,1.85512354,-0.146628697,-1.939011625,-0.724719101
-0.32769495,-1.19260438,-0.35936983,-0.1130107,-0.07072545,-0.696718895,-0.06283317,-0.724719101
-0.01471851,-0.44128302,-0.35936983,0.7028097,-0.07072545,0.08277152,1.281303148,2.275280899
-0.64402634,0.29101387,-0.35936983,0.4249995,-0.07072545,-0.387820631,0.634316529,0.275280899
-0.01471851,-0.6712441,1.01768589,-0.3732107,-0.07072545,-0.454243786,-0.766514905,-0.724719101
-0.01471851,2.21552982,-0.35150325,-0.8936106,-0.07072545,-1.006125763,-0.547901957,2.275280899
0.93616676,1.28208646,-0.35150325,0.1647995,-0.07072545,-0.297270298,0.889493059,0.275280899
-0.01471851,0.21436018,-0.36199203,-0.1130107,-1.9491672,0.394570462,-0.142236189,-0.724719101
-0.80338156,0.29101387,-0.36199203,-0.7723157,-0.07072545,-0.731869063,-0.755160953,0.275280899
-0.01471851,-0.6712441,-0.05878164,-0.6334106,-0.07072545,-0.260113852,-0.766514905,-0.724719101
-0.6521394,0.10889187,1.02230265,0.0258944,-0.58774311,1.184025092,-0.095262839,-0.724719101
0.45474616,-0.25535212,-0.19370049,0.1647995,0.10161378,0.056027439,-0.033745808,-0.724719101
3.92859675,-2.59576004,1.76563686,0.1647995,3.78097252,2.280998565,-2.780271103,-0.724719101
-0.01471851,2.21552982,-0.36723642,-0.2343055,-0.07072545,-0.406911939,1.176002495,1.275280899
0.77394454,-0.6712441,-0.35936983,0.1647995,-0.07072545,0.008117029,-0.766514905,-0.724719101
0.46334716,-0.6712441,-0.35936983,0.3037047,-0.07072545,-0.554721426,-1.32927659,-0.724719101
-0.33056195,0.29101387,-0.35412545,-1.3103259,-0.07072545,-0.942077877,0.561445546,-0.724719101
0.4609681,-0.41246841,-0.1910783,0.4249995,1.21317388,0.863492637,0.525826147,0.275280899
-1.27858023,0.39648218,-0.36199203,-0.1130107,-0.07072545,-0.303874329,0.561445546,-0.724719101
-0.17407373,-0.59459041,-0.36199203,0.1647995,-0.07072545,-0.89670623,0.634316529,0.275280899
-0.01471851,-0.6712441,-0.35936983,-0.1130107,-0.07072545,0.034750949,-0.766514905,-0.724719101
0.14463671,-0.6712441,0.10227093,-0.9112209,0.52381699,-0.094151301,-0.766514905,-0.724719101
-0.80338156,0.29101387,-0.36461422,-0.2343055,-0.71267511,-0.182516634,-0.611051174,-0.724719101
-0.01471851,-0.6712441,-0.35936983,0.0258944,-0.07072545,0.769803518,-0.766514905,-0.724719101
-0.01471851,2.21552982,-0.36199203,0.2860943,-0.07072545,-0.725696964,1.247241293,-0.724719101
0.77394454,-0.6712441,-0.35936983,0.1647995,0.39888499,-0.096939601,-0.743807002,1.275280899
-2.06486422,2.03340782,-0.36199203,0.1647995,-0.07072545,0.954152924,0.59869713,1.275280899
-0.01471851,-0.6712441,2.41645849,-0.3732107,-0.07072545,0.633360362,-0.73245305,2.275280899
-0.01471851,-0.6712441,-0.35936983,0.5639046,-0.07072545,0.668620096,-0.658024524,-0.724719101
-0.01471851,-0.6712441,-0.35150325,0.7028097,-0.07072545,-0.25719604,0.071554844,0.275280899
0.45474616,1.66916382,-0.36723642,0.1647995,-0.07072545,0.173255913,1.269949196,1.275280899
-0.17120673,0.73191156,-0.35936983,0.1647995,-0.07072545,-0.680325316,0.496586207,-0.724719101
