Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
3.06408795,-2.16539892,-0.08708321,-0.12880204,-0.419145017,0.415842738,-1.56569221,-0.15686275
-1.66497241,0.85291857,-0.15840247,-0.94470199,-0.829166393,-1.601438348,-1.56569221,-0.15686275
-2.13827131,1.78649538,-0.15770892,0.5664825,1.718365378,1.291297938,2.13448834,-0.15686275
1.10359542,-0.43960848,-0.15736214,-0.88912893,0.034578117,-0.105492021,-1.11176114,-0.15686275
-1.66497241,0.85291857,-0.14943977,0.51090944,2.355248321,-0.460293803,0.64636865,3.84313725
1.10359542,-1.01423505,-0.15805569,0.33472098,-0.19228345,0.360749907,-0.99943224,-0.15686275
1.45502552,-0.43960848,-0.15840247,0.27914793,2.625811647,0.86441497,-0.64663115,-0.15686275
-0.15403692,0.85291857,-0.15701536,0.5664825,-1.736612662,0.871708059,1.41411935,3.84313725
-0.03925628,-0.08065824,-0.15736214,-0.12880204,0.898322627,1.282113297,-1.56569221,-0.15686275
-2.09078758,0.93831627,-0.15840247,0.97443247,0.261439684,0.04788535,-1.56569221,-0.15686275
-2.80782411,1.0685949,-0.15632181,-0.36056355,-2.329793845,-2.410292925,-1.49150488,4.84313725
-3.61589941,1.0685949,-0.15770892,-0.94470199,-0.19228345,-1.744550293,2.58841942,-0.15686275
-0.74211647,-1.01423505,-0.15736214,0.10295947,-1.239187768,-0.71566659,0.13308771,-0.15686275
-3.1759079,1.78649538,-0.15701536,-0.94470199,-2.102932278,-1.852143576,-0.84812188,-0.15686275
1.78980191,-2.16539892,-0.15736214,-1.58441347,-0.829166393,0.419473784,0.13308771,-0.15686275
-1.07689286,1.28618195,-0.15840247,-0.94470199,-1.692910903,0.634303342,2.58841942,-0.15686275
-2.82447781,0.99428176,-0.15770892,0.33472098,-2.102932278,-2.350984059,-1.11176114,-0.15686275
1.43837182,-0.08065824,-0.15840247,0.15853252,1.718365378,1.282113297,-0.65783007,-0.15686275
-2.10496392,-0.43960848,-0.15736214,-1.1764635,-3.376698163,-3.219595882,-1.11176114,-0.15686275
0.31217381,-0.22393216,-0.15736214,0.97443247,1.762067137,1.144250768,1.79171736,-0.15686275
-0.97876592,1.78649538,-0.15840247,-0.12880204,1.081482435,1.166281653,-1.11176114,-0.15686275
-0.05590997,-0.08065824,-0.15736214,0.10295947,0.444599493,-0.446040753,-1.56569221,-0.15686275
0.71176977,-1.59803544,-0.15736214,0.10295947,2.625811647,-1.123122337,0.78850951,-0.15686275
5.71787514,-3.81496548,-0.15701536,0.33472098,5.173343418,1.297421033,-1.11176114,-0.15686275
-2.58782835,1.78649538,-0.15736214,-0.94470199,-1.466049335,0.889302274,2.73972977,-0.15686275
-0.29255943,0.63533151,-0.15666859,-0.12880204,-1.91977247,0.287207485,1.52306305,-0.15686275
1.43837182,-0.51392162,-0.15736214,0.33472098,0.444599493,1.23816527,0.58701878,-0.15686275
3.28408371,-3.67360229,-0.15840247,0.10295947,1.308344002,-0.264788606,-1.56569221,-0.15686275
0.29552012,-0.2982453,-0.15736214,0.10295947,-0.829166393,0.050086642,0.58701878,-0.15686275
-0.99541961,0.85291857,-0.15840247,0.15853252,-1.466049335,0.646816599,-1.56569221,-0.15686275
0.98172661,-0.43960848,-0.15736214,0.97443247,-0.829166393,0.923785329,1.71953873,-0.15686275
-1.09354656,1.78649538,-0.15770892,0.74267096,1.081482435,0.672475142,0.58701878,-0.15686275
0.63029652,0.06070495,-0.15736214,0.97443247,2.172088512,0.353409195,-1.11176114,-0.15686275
-2.25305196,-0.08065824,-0.15736214,-0.94470199,-2.102932278,-1.826854036,2.48728943,-0.15686275
-0.74211647,-0.08065824,-0.15770892,-0.94470199,-2.102932278,-0.554279265,-1.11176114,-0.15686275
-1.99974881,1.78649538,-0.15736214,-0.94470199,-1.466049335,-0.24310446,-1.11176114,-0.15686275
0.18073948,-1.01423505,-0.15770892,-0.71294047,0.444599493,-1.41780571,-0.54550117,-0.15686275
2.02645137,-1.01423505,-0.15840247,0.33472098,1.718365378,0.46360632,-1.56569221,-0.15686275
-0.7183746,0.28746583,-0.15666859,0.27914793,0.034578117,-1.142702784,1.72455378,-0.15686275
4.20693965,-2.88138867,-0.15840247,0.33472098,5.766524601,1.294359486,-1.56569221,-0.15686275
-1.66497241,0.85291857,-0.15840247,0.33472098,-1.05602796,-1.436910607,1.28760591,-0.15686275
0.86694597,-0.43960848,-0.15701536,-0.53675201,0.67146106,0.970456672,-0.47833759,-0.15686275
-1.31354232,0.85291857,-0.15632181,-0.36056355,-2.739815221,-0.030384722,1.87084908,-0.15686275
2.02645137,-1.01423505,-0.15840247,-0.12880204,1.081482435,1.291297938,-1.56569221,-0.15686275
0.86694597,-1.80644867,-0.15736214,-0.94470199,-0.829166393,-0.460823435,0.78850951,-0.15686275
0.18073948,-1.01423505,2.0291527,0.74267096,-0.235985209,-1.207908259,1.1582938,-0.15686275
-3.5106843,1.78649538,-0.15632181,-1.1764635,-3.376698163,-1.141838161,1.60720983,-0.15686275
-1.66497241,1.78649538,-0.15840247,-0.12880204,-1.692910903,-1.710579962,-1.56569221,-0.15686275
-1.99974881,1.78649538,-0.15632181,-0.48117896,-0.19228345,-0.551056751,2.73972977,-0.15686275
-0.39068637,0.85291857,-0.15736214,0.51090944,0.444599493,1.166281653,0.80549272,-0.15686275
0.18073948,1.78649538,-0.15805569,0.33472098,1.945226945,0.703898012,0.73832914,-0.15686275
1.08694173,-1.44749843,-0.15805569,0.10295947,-2.146634037,-0.130747837,-1.2630715,-0.15686275
-1.33019601,1.353232,-0.15805569,0.5664825,1.081482435,0.295145686,0.78850951,-0.15686275
-0.74211647,1.78649538,-0.15840247,0.5664825,1.718365378,0.779889713,-1.56569221,-0.15686275
-0.74211647,-1.01423505,3.11792877,-0.53675201,2.808971455,-0.47258116,1.48342867,2.84313725
1.10359542,-1.01423505,-0.15805569,-0.12880204,1.081482435,1.291297938,0.58701878,-0.15686275
-0.74211647,-0.08065824,-0.15770892,-0.94470199,-2.329793845,-0.961011915,0.58701878,-0.15686275
-0.64398952,1.78649538,-0.15666859,0.10295947,-1.239187768,0.674434626,-0.06338797,-0.15686275
-1.66497241,1.78649538,-0.15632181,-0.48117896,1.945226945,-0.761960574,2.73972977,-0.15686275
-0.64398952,1.42754514,-0.15840247,0.97443247,1.718365378,1.30048258,0.58701878,-0.15686275
0.18073948,1.78649538,-0.15632181,0.97443247,1.718365378,1.30048258,-1.56569221,-0.15686275
0.53216957,-0.08065824,0.91715008,-0.12880204,-0.829166393,-0.009809484,-1.11176114,-0.15686275
-2.3511789,1.78649538,-0.15736214,0.10295947,-1.692910903,0.899250594,-1.11176114,-0.15686275
