Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
2.535966673,-1.405625849,2.832381745,-0.2373031,4.51947194,1.2275256396,-2.99990352,-2.01069519
1.637933509,-0.618144497,-0.173608537,-0.2919181,1.33550799,0.5978743848,0.59286845,-2.01069519
-0.388899124,0.469927542,1.087190806,-0.3192256,0.06033546,-0.3559877937,-0.57491329,1.98930481
0.073883848,-0.30201186,-2.402041048,0.6057218,-0.10005294,1.117575717,1.14325954,-3.01069519
0.454530741,-1.006964438,0.243739349,-0.3192256,-0.73763921,-0.6737146596,-0.27174299,0.98930481
-0.646967079,0.081107601,0.808457225,-0.3192256,-0.5772508,0.0116362749,-0.2128459,1.98930481
-0.60652422,0.941276258,0.784447628,-0.2373031,-2.48604223,1.0143708733,0.9757257,2.98930481
-0.60652422,0.485469493,-1.295827991,0.5511068,0.53753332,0.6037000162,1.27294857,0.98930481
-0.974029903,0.552456317,1.398300305,-0.2646106,0.06033546,-1.5079573655,-0.90724097,0.98930481
-0.60652422,1.479611797,-2.442057043,0.6057218,-0.10005294,1.2275256396,1.30537083,1.98930481
-0.60652422,1.479611797,-1.917683868,0.6057218,0.53753332,1.2275256396,1.27294857,0.98930481
-0.416200773,1.251708414,-2.033041061,0.6057218,0.53753332,-0.1323225338,1.11109972,1.98930481
-0.796847666,-0.007121654,2.209410261,-0.2919181,1.01473118,0.3759989681,0.94330344,1.98930481
-0.538779711,0.397240238,2.258545063,-0.346533,0.37714491,-0.470167166,0.08705952,1.98930481
1.229984967,-0.618144497,1.898663883,0.5784143,4.20266249,0.6934887313,-0.29142302,-1.01069519
1.012359871,-0.235025036,1.112316011,0.6057218,-1.0504813,1.1628869846,-1.02830004,-0.01069519
-1.354676796,0.935575777,2.675892949,0.5511068,-1.53561388,-0.0784911363,-0.01857479,1.98930481
-0.429341983,-0.390241114,0.38310614,-0.3192256,-0.73763921,-1.105721686,-1.62811087,-0.01069519
0.481832391,0.081107601,-0.050248144,0.5784143,-2.32962118,0.2860649664,0.30838781,-1.01069519
-0.60652422,-0.618144497,-2.442057043,0.6057218,-2.00884437,-2.1011999066,1.24052631,-0.01069519
-0.824149316,0.464227062,1.693040285,-0.3192256,0.0563681,-0.6500886977,-0.23932073,1.98930481
-0.60652422,1.479611797,-2.426050645,0.6057218,-0.10005294,1.1655990799,1.24052631,-0.01069519
-0.60652422,-0.618144497,-1.680834376,-0.2646106,-0.10005294,-0.4732456053,-1.42547223,-3.01069519
-0.60652422,-0.618144497,-0.254756135,-0.3192256,-0.10005294,-1.3109011689,-0.73107716,-2.01069519
-0.60652422,1.013963561,-2.434053844,0.6057218,-0.10005294,-4.0756470624,1.27294857,0.98930481
-0.388899124,0.169336856,-0.224282727,-0.2919181,-1.85242333,0.7261719223,0.68418781,-0.01069519
-0.60652422,0.780359699,-2.442057043,0.5237993,-2.8107864,-3.3658597237,0.87845892,-0.01069519
-0.103298389,0.552456317,2.397911853,0.4964918,-1.21483706,0.0571980775,0.61692319,1.98930481
-0.824149316,0.081107601,-0.789000603,-0.2373031,-1.05444866,-0.6165119606,0.5785535,-0.01069519
-0.60652422,-0.30201186,-2.090179063,0.6057218,0.53753332,-0.2321835132,0.87845892,-0.01069519
-0.60652422,1.479611797,-2.426050645,0.6057218,-0.10005294,-2.8158035861,1.17568179,-2.01069519
-1.014472762,1.16347916,2.447046656,0.5237993,-0.89802761,0.5402849864,0.38696493,1.98930481
-1.191654999,0.008420297,0.97294922,-0.2919181,-0.09608558,-1.1036705274,-1.49005431,0.98930481
0.141628357,-0.146795781,-1.820201167,0.5784143,0.37714491,0.4323098947,-0.24526816,0.98930481
0.141628357,-0.235025036,1.497322395,-0.3192256,-0.10005294,-0.8660578768,-0.83402893,-0.01069519
0.889780933,-0.146795781,-0.558614921,0.6057218,1.65231744,0.5111660134,-0.50438379,-1.01069519
-0.756404807,0.713372875,1.652695584,0.5237993,-0.10005294,0.6711564897,0.74903232,1.98930481
-0.321154615,0.941276258,1.513328794,-0.3192256,1.17511958,-0.0050745426,-0.33658751,-1.01069519
-0.348456265,0.014120777,0.579610932,0.5511068,-1.05444866,-0.7382498998,-0.40979955,-0.01069519
-0.538779711,0.868588954,2.447046656,-0.3192256,0.53753332,-0.0729568892,0.31107035,0.98930481
-0.824149316,1.16347916,3.003761332,0.4964918,-0.10005294,0.8179946724,0.94330344,1.98930481
-0.756404807,0.868588954,-1.058978499,0.5237993,-1.53561388,0.3003167199,1.30537083,1.98930481
-1.259630638,-0.229324556,0.38310614,-1.1349429,0.0563681,-1.7919206798,-1.72269511,-1.01069519
-0.60652422,1.008263081,2.66788975,-0.3192256,0.53753332,0.447036538,0.28727806,2.98930481
2.916613566,-1.861432614,1.801181181,0.5511068,3.56507623,1.1655990799,-0.67218007,-1.01069519
-0.075996739,0.081107601,1.644692385,-1.1622504,-0.10005294,-0.3280561584,-0.57491329,1.98930481
-1.354676796,0.935575777,1.938679879,-1.1622504,0.69395436,-0.0555463513,-0.01857479,1.98930481
-0.674268728,1.16347916,2.586413446,-0.3192256,-0.26044135,0.8301600726,1.03788768,2.98930481
-0.60652422,0.330253414,-2.402041048,0.6057218,-0.10005294,1.2275256396,1.24052631,-0.01069519
-0.60652422,0.159495385,-0.339311216,-1.9233528,-0.5772508,0.0084063601,0.24890837,0.98930481
-0.293621835,0.236323679,1.316824002,-0.3192256,0.21675651,-0.0416665156,-0.07747188,0.98930481
-0.239018536,0.464227062,2.856391342,-0.3192256,0.69792173,0.0735105164,-0.01857479,1.98930481
-0.769546017,0.309010983,1.128322409,-0.3192256,-0.41686239,-0.500238168,-0.18310618,0.98930481
-0.388899124,0.309010983,1.087977709,-0.3192256,-0.10005294,-0.4290915368,-0.43953927,0.98930481
0.141628357,0.081107601,-1.074984897,0.5784143,0.37714491,-0.6928301862,-0.96613806,-0.01069519
1.420308413,-0.773360575,1.36671129,-0.3192256,0.85434277,0.0098645708,-1.26336094,1.98930481
-0.756404807,0.397240238,1.742175087,-1.1622504,0.69792173,-0.365375288,-0.2128459,1.98930481
-0.103529519,0.24202416,1.030839707,-0.346533,1.97309425,0.2096783351,0.22838096,1.98930481
-0.266320186,-0.934277134,0.048773946,0.6057218,0.37714491,-0.2902447555,0.31943787,-2.01069519
-1.014472762,0.853047003,2.290886564,-0.346533,1.64835008,-0.1954811916,-0.33390497,0.98930481
-1.014472762,0.62514362,2.357567153,0.5237993,-1.21483706,-0.4247900501,0.34349261,1.98930481
-0.701801508,0.469927542,1.227344499,-0.3192256,-0.73763921,-0.5048278725,0.2548558,1.98930481
0.862479283,-0.146795781,0.28408405,0.5511068,-1.37125811,0.126427244,-0.90724097,0.98930481
-1.354676796,1.324395718,2.062040271,0.5237993,0.85434277,0.4768543206,0.38696493,1.98930481
-0.60652422,1.479611797,-1.984693162,-1.1622504,2.45029211,0.7300954131,1.30537083,1.98930481
-1.16435335,1.251708414,-0.331308017,-0.346533,1.17115222,-1.1984644492,0.61097576,0.98930481
0.359253453,-0.390241114,-1.90167747,-0.2646106,1.01869854,-1.1948058741,0.35186013,-1.01069519
0.141628357,-0.618144497,-0.198405037,0.6057218,1.81270585,0.2480615878,-0.67218007,-1.01069519
0.141628357,-0.846047879,0.26961704,-1.1622504,-0.89406025,-2.6221857096,-3.40276069,-0.01069519
-0.60652422,-0.618144497,0.375102941,-0.2919181,-0.10005294,-1.607655583,-1.1663566,-1.01069519
-1.286932288,1.096492336,2.258545063,-0.3192256,-0.41686239,-0.0209105011,1.00546542,1.98930481
0.114326707,-0.846047879,0.792450827,-1.9779677,0.21675651,-1.6060581246,-0.92266574,-0.01069519
-0.60652422,1.479611797,-2.450060243,0.6057218,-0.10005294,1.2275256396,1.24052631,-0.01069519
-0.60652422,0.780359699,0.375102941,0.6057218,-0.10005294,-0.094729419,0.35186013,-1.01069519
-1.314233937,-0.219483085,0.097121845,-0.2646106,0.22072387,-2.0802334587,-1.52842399,-1.01069519
-0.388899124,-0.390241114,0.375102941,-1.1349429,-0.5772508,-1.0846398061,-0.83402893,-0.01069519
-0.416200773,0.24202416,0.751319223,-0.3192256,0.37714491,-0.637732856,-0.04504962,1.98930481
-0.171274028,-0.074108477,0.751319223,-0.3192256,0.06033546,-0.1311047697,0.41670465,0.98930481
0.141628357,0.780359699,-2.402041048,0.6057218,-0.10005294,1.0561301362,1.20810405,-1.01069519
1.257286616,-0.618144497,1.898663883,0.6057218,-0.88612553,1.2275256396,-0.64244035,-2.01069519
-0.075996739,0.309010983,1.644692385,-0.3192256,0.21675651,0.1273550754,0.08705952,1.98930481
0.141628357,-1.317396595,0.915811219,-0.2646106,0.22072387,-1.1248151011,-0.73107716,-2.01069519
2.386086086,-2.016648692,2.55440065,0.5237993,3.72546464,0.2893459609,-1.66648055,-2.01069519
0.359253453,-0.074108477,-2.434053844,-0.2646106,-1.53561388,0.4207843956,-0.60733555,0.98930481
0.889780933,-1.317396595,-0.763122912,0.6057218,2.61068052,-0.6488337178,-0.79565924,1.98930481
-0.60652422,0.858747483,2.07004347,-0.2919181,0.54150068,0.5693201261,0.97304316,0.98930481
-0.946728254,-0.146795781,-2.402041048,0.6057218,-0.10005294,0.8976758717,1.20810405,-1.01069519
0.535416459,0.112191503,-2.426050645,0.6057218,-0.10005294,1.206883453,1.30537083,1.98930481
0.141628357,0.081107601,-2.402041048,-0.2373031,-0.10005294,0.0343031533,1.20810405,-1.01069519
-0.348456265,-0.462928418,-0.886483305,0.5784143,-1.21880443,1.0790095283,0.65176555,-1.01069519
0.767433125,-0.690831801,0.441325332,-0.2919181,-0.25647399,-0.2234754773,-0.64244035,-2.01069519
-0.293621835,-0.30201186,0.702971324,-1.1349429,0.21675651,-1.9293191396,-0.99856032,-1.01069519
1.229984967,-0.235025036,-1.639702773,-0.2646106,0.69792173,0.2819328642,-0.20447838,-1.01069519
2.576409532,-1.700516055,-0.787461214,-0.2646106,-1.53561388,0.5595286384,-0.99856032,-1.01069519
3.447141047,-2.560684712,3.152246929,-1.9506603,3.40865518,0.9858208992,-3.43786549,-3.01069519
-0.266320186,-0.618144497,0.448576045,0.5784143,0.06033546,-0.6372537813,-0.66623265,-0.01069519
0.481832391,-0.235025036,-1.516342381,0.6057218,-2.32565382,0.0862074092,0.35186013,-1.01069519
-0.60652422,0.780359699,-2.237549052,-0.2373031,-0.10005294,1.0450292745,0.31943787,-2.01069519
0.141628357,0.081107601,-1.500335982,0.6057218,-0.26044135,-0.5554480075,0.05463726,0.98930481
-0.60652422,0.330253414,-2.402041048,-0.2919181,-0.10005294,1.2275256396,1.24052631,-0.01069519
