Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,BigFiveAgreeable,BigFiveOpen,GeneralizedThreat_OutgroupAtt,GeneralizedThreat,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.fDOM,SDO.fEGAL,SystemJustification,ID.fSELFINVESTMENT,ID.fSELFDEFINITION,Contact_quality,Contact_negative,Contact_quantity,Contact_numberfriends,Contact_frequency,BeliefInJustWorld,Entitativity,RWA.fCONS,RWA.fTRAD,RWA.fAUTH
-0.47059092,-0.020160369,-3.847478063,-0.829941063,-0.47811675,-1.25162277,1,-2,-0.552418949,-0.891736091,-2.188661293,0.61771928,2.25291204,-1.25596336,-1.25558289,-1.146290909,-1.570639549,-1.433884177,0.313528401,-0.28804611,0.446755214,0.343375795,1.6937776,-0.594756195,-0.73080232,-1.420885335,-1.275640435,-0.441720908
0.58322122,-1.398473871,-2.424236719,0.997428661,0.21142631,0.12567289,2,-2,0.485737123,0.337528442,-1.715613866,0.63832059,0.94139337,0.44843659,0.66031243,1.378388614,0.614341601,0.680426194,-0.301225432,0.15141986,-0.88932349,-0.656624205,-1.3062224,1.18590529,-0.32186508,1.925227146,2.483378351,0.801689913
-2.48483884,1.647611977,3.116667853,-1.071495031,0.65028429,0.48506359,1,0,-0.692471484,-0.829403357,-0.655453869,0.63832059,0.70622294,-1.19465611,-1.1904302,-2.275015552,-1.119133718,-1.155895118,0.895655804,-0.905458889,0.02079345,0.286097923,0.6937776,-0.769061383,0.157725547,-1.907908311,-2.317628931,-0.678465726
-1.14507279,-0.020160369,3.056986847,-1.026917998,-1.2377477,0.54777376,1,-7,-0.712934405,-1.111332525,1.087839128,-0.59923253,-0.19258887,-1.24196626,-1.2503024,-1.692705932,-2.190887108,-2.364996527,0.29050795,-0.21775968,-1.743854963,-1.514949724,-1.941734773,-2.528548181,0.725466434,-1.277917199,-1.952429034,-0.623587794
-1.14507279,0.971304302,2.043740532,-1.071495031,0.21142631,0.48506359,1,-3,-0.643532026,-0.332662769,-0.311515984,0.0429957,-0.95728182,-1.25454306,-1.30435569,-1.264853947,-0.818442321,-0.428965532,0.305198363,-0.390116651,0.551864302,1.343375795,-0.3062224,-1.077130555,-0.13208683,-1.708897941,-1.561259503,-0.539794522
-0.17543931,-1.011625039,-1.704394429,1.203498955,-0.22743167,-0.23371781,4,0,2.516284496,-0.007233428,0.223329224,-0.26379268,0.71254161,2.64709463,2.82526653,-0.278451387,-0.625601048,-1.285985423,-2.044015762,2.004411252,0.03588344,0.343375795,0.6937776,0.078177552,-1.038040774,0.928766398,0.21451594,-0.014413813
3.10359369,-2.994554379,-0.6980204,2.514091318,-1.06044494,-0.35238057,3,0,2.082895059,-0.368664373,1.749275148,-0.3005092,0.36817453,3.02872975,2.53062718,-0.932124843,-1.016963754,-1.083856514,-1.795943431,1.040363443,-0.729392285,-0.868438138,-1.3062224,-1.193327638,-1.301154807,1.964573107,2.401505959,0.85914088
-1.15427049,1.647611977,2.438235281,3.150435896,0.83676944,0.81432072,1,-7,-0.650419503,1.252618819,-1.298041935,0.53534433,2.37443617,3.20370317,2.07427088,0.741185394,1.564755291,1.829219215,1.167245518,-1.018766126,0.803877714,1.024768422,1.6937776,1.454498587,0.472329978,1.714966858,4.329576261,1.413729667
1.68884668,-0.939933201,0.575378644,-1.026917998,-0.78886738,0.54777376,7,6,1.134566635,-0.360528671,3.723741908,-0.3005092,0.3115788,-1.27073235,-1.29215266,-1.48062392,1.321417888,0.928047999,-2.959161911,3.537160552,0.455924595,-0.656624205,1.6937776,-0.063330817,0.15373781,0.269670859,-1.584782652,-0.708092961
-0.17543931,1.962768972,-1.796988426,-1.026917998,0.45413516,0.45493002,1,0,4.047420158,-0.191648097,-2.347405573,0.63832059,1.39800393,0.01135961,-0.54771976,1.725282696,2.282664895,2.315093831,1.188989116,-1.009798124,1.383667395,2.027678579,3.6937776,-1.015617596,1.309668934,3.442396601,3.674258972,1.111827216
-0.17543931,0.971304302,-1.387079687,-0.829941063,0.07433549,0.14353703,1,0,-0.650419503,0.429946805,0.007584943,0.63832059,-1.03176895,-1.26688451,-1.30920539,1.299034314,0.231223076,0.328849129,-0.149701669,-0.50047829,-0.049437477,0.343375795,0.6937776,0.953637027,-0.6185291,-0.44138837,-0.727888316,-0.36350811
-0.17543931,0.971304302,-0.941638278,-0.296347363,-0.16736611,0.03379881,2.5,-0.5,0.476442179,0.428671166,-0.351793762,-0.23549514,1.98024546,0.74770917,1.59170301,1.33880843,0.309993621,0.572441152,0.10810928,-0.10730079,0.128934697,-0.656624205,0.6937776,1.516166781,0.118332153,2.21387246,3.20502487,1.07251061
-0.47059092,1.962768972,-1.62422209,-1.071495031,-0.84766024,0.81432072,1,0,-0.654726058,-0.101072308,-2.715354658,-0.27811841,-0.13996359,-0.94019296,-1.12086295,-0.732229022,0.667862105,0.585623189,0.432035532,-0.63524111,0.204609436,0.227280776,0.335025148,-0.794515195,1.287925845,1.318396002,-1.532829283,-0.494480083
-0.77494022,-0.696468044,0.097514357,-0.829941063,-0.49305472,-0.53284137,1,-2.5,2.10471957,-0.875695712,0.039511476,0.14621245,-1.16013743,0.05373898,0.60046256,-1.067356073,-2.331578754,-1.841217203,-0.712393889,-0.021978851,0.074567371,0.26544294,0.6937776,-0.057725051,-0.49065505,-0.830238738,-1.571292166,-0.651935003
3.09439599,-2.415636692,2.777138613,2.373970872,-0.47811675,0.45493002,8,7,4.460581066,-0.213166734,3.242173409,-0.08426638,-0.7909383,3.39197481,3.00865917,-0.835795499,1.533911998,1.642347716,1.118255698,-0.96778567,0.568095553,-0.184521654,-1.3062224,-0.538139486,0.569498195,2.045342529,-0.910557017,-0.310686389
-0.17543931,-2.994554379,-5.511599169,1.164793905,0.14338453,-1.94027061,2,-5,-0.355227475,0.060561356,1.11812847,-0.80685335,-1.18143024,1.98302648,2.52965404,-1.123087606,-1.841333897,-2.099255128,-1.453714646,1.04722247,-2.243816437,-1.656624205,-2.3062224,-1.115487019,-0.715994677,0.144551737,-0.273748913,-0.072550585
0.79419417,0.971304302,2.08216579,-0.261315783,0.45413516,0.63945463,2,1,0.245515939,0.793904856,-1.551219265,0.59415128,1.83778855,-0.78466755,-0.61643723,1.854281229,2.252890567,2.334189546,0.987264703,-0.928004631,1.155996327,1.549635094,2.6937776,1.641323821,0.603476998,1.514066266,2.326664797,0.776020791
0.79419417,-0.335317363,-4.399421763,1.164793905,-0.47811675,0.54777376,5.5,4,-0.643532026,0.592733887,2.009049558,-0.29584831,-0.92414299,0.79021725,0.65874493,-1.302874583,1.481615593,1.618592047,-0.828517645,0.911755669,0.02680244,-0.058019274,-0.13738418,-1.62487703,0.27607587,0.463313657,-1.012671539,-0.431211615
