Bias,OutgroupAttitudes,SymbolicThreat,ValuesThreat,BigFiveAgreeable,GeneralizedThreat,Unpredictability,Religiosity,SystemJustification,ID.fSELFINVESTMENT,ID.fSELFDEFINITION,Contact_quality,Contact_quantity,Contact_numberfriends,Contact_frequency,BeliefInJustWorld,Entitativity,RWA.AUTH,SDO.EGAL
-0.38520633,0.518733394554935,1.896477821,2.590322531,-0.14607632,1.92882714,2.99070053,0.255045552,1.177656177,0.670228136,0.511608552,-0.4939450462,0.7813214594,2.3086417852,1.7438269412,1.6302393047,0.13997716,0.0581365416,0.861463905
-0.06957339,-2.09835540012563,0.063916229,1.204385428,-0.53101113,-0.84384358,-0.17267463,-1.060077639,-0.510905337,-1.88921439,-2.10982997,-2.5113730186,-0.3315842155,0.3086417852,-1.2561730588,-0.8062463944,-1.87660518,-0.441938834,0.080727232
-1.06272446,-1.10241495681598,-0.960821679,-1.125747664,-1.14241528,-3.10979159,-0.56368772,-1.049780691,-2.196235802,-1.844007804,-1.494319821,0.2705871234,-0.90162804,-0.6913582148,-1.2561730588,-2.5689547053,0.25563019,-0.279650164,-0.928960414
-1.73565356,0.76950180065429,-1.064390289,-1.209490143,-0.53101113,0.66678842,-1.94196396,-1.133848023,0.380243344,-0.251663978,-0.699757412,0.2560997404,1.1634256417,0.3086417852,-0.2561730588,-0.0792053269,-0.4800933,-0.2361910875,-0.790564653
-0.24363243,-0.477207048754715,1.492751608,0.953157992,-0.54234511,4.20431128,1.2335616,0.173243356,0.754064514,-0.643761921,-0.679521532,-0.725949776,-0.113613085,0.3086417852,1.7438269412,0.8273724303,-0.94381086,-0.2056628795,1.05078722
-0.06957339,-0.23727879045666,-1.043001698,-1.125747664,0.46532783,0.66678842,-1.74484858,-1.103766667,-1.299947116,-0.837558154,-1.129186032,0.4300196221,0.2302023288,0.3086417852,0.7438269412,-1.7865701579,-1.13889516,-0.441938834,-0.999146683
0.77987005,1.100580711411,-0.753864447,-1.125747664,0.46532783,0.66678842,-2.46734247,-0.226481877,0.142645598,0.154933419,-0.281902358,-0.0639453819,-0.6740962112,-0.6913582148,-1.2561730588,-0.4414223884,-0.59818737,-0.0561460838,0.007893917
-2.05587554,1.88540637311297,-1.015213008,-1.125747664,-0.53101113,0.66678842,0.80892068,1.307718868,-0.600096151,0.060788383,0.29318143,1.0002119032,1.7481466923,2.3086417852,2.7438269412,-1.0979355565,1.40127327,0.2934109157,-0.97476657
-1.06272446,1.88540637311297,-0.907985245,-1.125747664,0.46532783,-0.59525029,0.98502219,-1.097970468,1.301095483,0.870157814,1.055899,0.9806224071,1.3982091918,0.3086417852,0.7438269412,0.9248461064,0.30632467,-0.0561460838,0.520367805
3.72438283,-3.09429584343528,3.11928462,0.008962004,-0.14607632,4.70149786,2.6802106,1.550049206,0.22628887,0.913026436,0.956357126,-0.9803787687,-1.7420822903,-0.6913582148,-1.2561730588,0.9289609078,-0.2374507,0.2791100366,-0.126545409
2.90987983,-1.9783912709766,1.897017787,-0.432779112,0.65779523,2.93273643,0.07505283,0.953306237,-0.259225164,2.083656988,1.807021319,-0.5746979215,-0.6699712241,-0.6913582148,-1.2561730588,1.5511878455,0.55664501,0.204831033,0.490487174
-0.06957339,1.88540637311297,-0.141960386,1.120642949,0.65779523,-0.59525029,2.28460849,1.042334988,1.022957188,0.536747015,0.815069299,-0.0249434664,-0.2412069196,0.3086417852,-0.2561730588,1.2862725232,0.64376483,0.204831033,-0.879227064
-0.06957339,0.889465929803318,-1.113506685,-1.125747664,0.46532783,0.66678842,1.04693539,0.995414041,-0.677383899,0.668387046,0.49792727,0.7898121614,-0.6563874911,-1.6913582148,-1.2561730588,-0.1340759153,-0.64651669,-0.0580799512,1.338020288
-1.34587227,1.02027020675365,-0.145659178,-1.125747664,0.25019246,3.19086585,-1.57616055,-1.311102345,-1.925561102,-0.278891102,0.701836762,0.6335415825,0.3950431224,1.3086417852,0.7438269412,0.559980732,0.54834966,0.2781782787,-1.020833294
-1.06272446,-0.106474513506332,0.221216922,0.511416876,0.04639108,-0.33712087,1.29466285,0.846064561,0.03000082,-1.265872571,-1.353328308,-0.3566322827,1.388440232,1.3086417852,0.7438269412,0.1856044917,-0.51475298,0.1673579965,1.127543434
-1.06272446,-0.106474513506332,-0.004110442,2.67406501,-0.9386139,-0.59525029,1.29338158,-1.212810976,-0.065877649,-0.826608445,-0.489176871,-0.0137557889,0.5180560312,0.3086417852,0.7438269412,-0.4910862497,-0.23646457,-0.2056628795,2.13205863
-4.04217769,1.88540637311297,-1.060762451,-1.125747664,0.25019246,0.66678842,-2.25797258,-1.212810976,-1.69837198,-2.922961789,-2.512238059,0.6998777452,-1.9343373289,-1.6913582148,-2.2561730588,-2.1966964141,0.32728223,-0.5448127072,-1.020833294
1.59650678,-1.10241495681598,-0.067708804,-0.600264069,-0.14607632,-4.62995973,1.02379339,0.282046641,2.1450313,1.088070663,0.881816342,-1.3884532938,-2.5009827833,-1.6913582148,-2.2561730588,1.8798449172,-0.65625396,0.0876631692,0.766105815
0.74492961,-0.982450827666954,2.404492599,-1.125747664,0.65779523,-1.84775287,1.04693539,1.469582282,-1.05112712,0.204017437,0.702947595,-0.6216169157,-2.1192989817,-1.6913582148,-2.2561730588,-0.6939657546,1.14936677,0.7049064086,-0.852879646
-0.06957339,1.88540637311297,-0.907979723,-0.349036634,0.65779523,-0.59525029,-1.60403622,0.604190365,1.481695067,0.279825631,-0.255084701,0.7502948815,0.4505756509,0.3086417852,-0.2561730588,1.5542355306,-0.08511087,-0.0742639592,-0.487644584
-1.06272446,-1.10241495681598,0.26769138,-1.209490143,-1.33488268,1.17351114,1.04693539,0.87149686,-0.469390931,-0.29774151,-0.289012568,-1.2819315457,-0.5140957748,1.3086417852,-0.2561730588,-0.6374806894,-0.53366696,0.3908620767,-0.82894276
-2.16037527,1.76544224396394,-1.043001698,3.953230912,-0.54234511,-3.10979159,-1.99257604,-0.690296424,-0.789374044,-0.56074872,-0.502612344,0.9008766538,1.3870476588,0.3086417852,0.7438269412,-0.7490388356,0.66089689,-0.2056628795,-0.852879646
0.92357769,-1.10241495681598,1.714872481,2.757807489,-1.53868407,1.42210442,1.72588223,0.540376477,-1.237070819,-0.386072048,-0.470032935,-1.3341425733,0.4790580808,2.3086417852,-0.2561730588,-1.1158902394,-1.25681233,0.3077049062,2.251928272
-1.06272446,-0.106474513506332,-1.060762451,-1.125747664,0.26152644,-0.33712087,-2.71673115,-0.981455035,-1.253381606,-1.424406731,-1.432432331,0.1847006204,-0.3892628281,-0.6913582148,-0.2561730588,-1.8793787284,-0.71136205,-0.2056628795,-1.020833294
-1.24137254,1.00943005895235,-1.009318754,-1.125747664,-1.14241528,-0.84384358,-0.65429297,-0.124356406,-1.320739495,-1.160132004,-1.452315441,0.4090363107,0.910476923,0.3086417852,-0.2561730588,0.0795550355,-0.33534264,0.089502977,-1.020833294
-0.06957339,-0.106474513506332,-0.907979723,-0.349036634,-0.9386139,-1.59915958,-0.89682974,-0.442518268,-1.345740137,-1.321020416,-1.576827262,-0.2627495683,-0.5685451627,-0.6913582148,-0.2561730588,-1.6618201325,0.21908399,-0.0447373316,-0.871185986
4.89618198,-4.09023628674493,4.294286959,4.31122955,0.26152644,5.19868443,,-0.932574454,1.219927574,1.759466493,1.355574204,-3.3954482911,-2.7818897918,-1.6913582148,-2.2561730588,0.9242258103,-3.53003156,0.0724305322,0.527343427
-3.04902661,1.00943005895235,-1.064390289,-1.125747664,0.65779523,-2.35447558,-0.27584988,-0.986481434,-0.925995205,-1.698931034,-1.279760699,-0.4082193866,-0.1025843723,0.3086417852,-0.2561730588,-0.9467747213,0.31471311,-0.441938834,-0.324117647
-0.06957339,-1.10241495681598,1.186420881,0.595159354,-0.13474234,0.16960185,1.90439614,0.665889754,-0.475275528,-0.280752922,-0.685488508,0.6469628745,1.7956603525,1.3086417852,2.7438269412,-0.2009006458,0.13049175,,0.2147503
-0.06957339,1.88540637311297,1.902427635,1.897353979,0.45399385,0.66678842,-2.09409007,0.741080974,1.746402463,0.09599925,0.621795185,-0.1948976432,1.7218522592,2.3086417852,1.7438269412,0.2303323275,-0.36307448,0.3962847889,0.659116268
0.42470763,-1.10241495681598,1.032361302,-1.125747664,0.05772506,4.95009114,0.3244415,1.010748059,-0.690695106,-0.848766224,-0.636546464,0.8609506037,-0.1965300198,-1.6913582148,-2.2561730588,0.3539589859,-0.70561799,-0.3914022041,0.353803612
-1.06272446,-0.106474513506332,-0.857253069,-1.125747664,0.26152644,-1.09243687,2.28243911,-1.311102345,-0.258913434,-1.17946968,-0.489874529,-0.2339746532,-1.287646324,-0.6913582148,-1.2561730588,-1.623883924,-1.51403728,-0.2056628795,-1.020833294
-0.06957339,-0.106474513506332,-0.679112204,0.427674397,0.46532783,-0.33712087,-0.36096206,-1.311102345,0.055716179,-0.407601478,-0.469111745,0.4092115085,1.9838043101,3.3086417852,1.7438269412,0.7589053618,0.40967249,-0.3390649608,0.08559245
3.29966112,-1.84758699402628,2.24036377,2.757807489,-0.34987771,1.163975,0.44311727,-0.557365563,1.061533478,0.742379599,1.032754365,-0.5593942501,-0.3570542582,0.3086417852,-0.2561730588,1.0389037223,-0.90401466,-0.1037905867,0.47987614
-0.06957339,-1.10241495681598,-0.907985245,-1.125747664,0.26152644,-0.84384358,-0.72809302,-1.013616049,-0.861713571,-1.603574189,-0.909154419,-1.3884532938,-2.5009827833,-1.6913582148,-2.2561730588,-1.5685515998,-0.42942433,-0.3390649608,-0.395424047
-0.88407639,0.76950180065429,-1.043001698,-1.125747664,-0.9386139,0.41819513,-0.77296601,-0.994722357,1.045213083,0.832040485,0.434038966,0.1337156389,0.6869420342,-0.6913582148,1.7438269412,0.6524334752,0.33690181,-0.2056628795,1.196099823
-0.06957339,-0.22643864265536,-1.009318754,-1.125747664,0.26152644,-1.09243687,1.63737722,-0.184435996,0.109891321,-0.065587004,0.250596025,-0.7698275316,1.1532092509,0.3086417852,0.7438269412,-0.4534805896,0.14945133,-0.2056628795,-0.232548248
-0.06957339,0.889465929803318,-0.960821679,-1.125747664,0.46532783,0.66678842,-2.65396868,0.005135085,0.027655553,-0.733471142,-0.713369273,-0.0920224763,1.2844982178,1.3086417852,1.7438269412,0.7524229752,-0.42020298,-0.0009167135,-0.387614195
-0.21114729,1.88540637311297,-1.060762451,-1.125747664,-0.14607632,0.66678842,-2.67879317,-0.93764915,0.545262095,0.800789674,0.721742077,0.9239460042,1.2933207365,1.3086417852,0.7438269412,0.6148416935,0.57611481,-0.441938834,-0.790564653
0.6033557,-1.10241495681598,0.218350965,-1.209490143,-0.92727992,0.66678842,1.04693539,-0.518574875,-0.735376494,-1.277587093,-0.641973188,-0.0030929773,0.5784393376,0.3086417852,-0.2561730588,-0.5198583868,-0.87986233,-0.3390649608,-0.278564089
-0.56844345,0.144293892593024,1.614768346,4.394972028,-0.14607632,-1.85728901,2.6802106,-0.085872937,1.270725313,0.675058489,0.3825699,-1.5886248067,-0.3556347474,1.3086417852,2.7438269412,1.6363376972,-0.12607576,-0.1037905867,1.437153093
-1.06272446,1.88540637311297,-1.064390289,-1.125747664,0.26152644,0.66678842,-1.73753586,-0.005675137,-0.502565858,-1.586016261,-1.342171996,0.7875729997,1.2957852602,3.3086417852,1.7438269412,-0.8009808979,0.92999345,,-0.97476657
