Bias,OutgroupAttitudes,SymbolicThreat,ValuesThreat,BigFiveAgreeable,GeneralizedThreat,Unpredictability,Religiosity,SystemJustification,ID.fSELFINVESTMENT,ID.fSELFDEFINITION,Contact_quality,Contact_quantity,Contact_numberfriends,Contact_frequency,BeliefInJustWorld,Entitativity,RWA.AUTH,SDO.EGAL
-0.80329117,0.389671943951997,-1.666999937,-1.53374656,-0.45172739,-0.351159863,-2.840921703,-1.15817642,-2.56908424,-1.120669721,-1.101836403,1.162896592,-1.229535165,-0.637630635,-1.080139284,-2.64563666,0.118645442,-0.61009143,-0.965933924713509
4.57901122,-3.37678491172983,4.412825103,6.01948474,1.04264197,-3.233176223,4.800419304,0.89643104,3.06276726,1.761501889,2.226341888,-3.80999399,-2.075492319,-0.637630635,-1.080139284,3.29538624,-1.4157944592,0.03739635,-1.35103006163446
-0.80329117,-0.55194226996846,-0.469866186,0.96425972,0.08473334,-0.351159863,0.737028405,0.55884914,0.96533053,0.378628978,0.501526066,-0.864771978,-1.574469506,-0.637630635,-1.080139284,-0.28661055,-0.3929730276,0.38377088,1.07840794264916
0.5231272,-0.55194226996846,1.324053247,4.80008782,-0.19113797,-5.234337853,0.955379891,0.3606768,0.71542485,0.555180247,0.244522478,-2.022670283,0.695967592,0.362369365,0.919860716,0.99833785,-0.9961252272,-0.24850607,0.895605247764301
0.99080963,-0.55194226996846,1.596872355,5.40978628,-1.00347,3.091009947,0.733918085,-0.89385952,-0.79343636,1.032957895,1.115231849,-1.340588123,-1.655412383,-0.637630635,-1.080139284,-0.99566063,-0.3795538245,0.10135934,0.418908367432064
-0.80329117,0.389671943951997,-1.656753177,-1.53374656,1.04264197,-0.351159863,-2.945527734,-1.26552135,-2.30917675,0.019965724,0.153192876,1.35282784,1.737319102,0.362369365,0.919860716,-2.71896959,-0.2566951264,-0.24850607,-1.35926391022757
-0.80329117,2.27290037179291,-1.473785176,-1.53374656,0.63647595,-0.351159863,0.943405346,-0.55814244,0.10385168,0.863472625,1.28402537,1.197897023,-0.219410255,0.362369365,-0.080139284,-0.08385375,0.5448770596,-0.19975391,-0.608615487401869
2.12170124,-2.11377643086739,3.042539951,5.07533083,-1.00347,2.320530506,1.881875977,0.26140313,1.34216254,1.166472648,1.041442712,-1.38682873,-0.2615119,-0.637630635,0.919860716,-0.22164715,-1.9389432451,0.14446507,3.25663577550596
-0.80329117,2.27290037179291,-1.545714306,-1.53374656,0.63647595,-3.433077629,-2.945527734,0.22601309,-0.13962591,-1.406509421,-1.438496173,0.602270501,0.29404624,-0.637630635,-0.080139284,0.18210707,-0.3479674112,0.55695814,-1.35154424774323
-0.99693255,-0.0145726336370891,-1.323636564,-1.53374656,-0.7275987,-0.351159863,-0.684613988,-0.33863085,-1.17115042,-1.024929019,-1.440118511,0.597611209,0.051404457,-0.637630635,-1.080139284,-1.82172842,0.1330285235,-0.0520205,-0.188364754196256
-0.33372337,1.00989189093046,-1.658820529,-1.53374656,0.49089935,-0.351159863,-2.945527734,-1.03706026,-1.69075094,-0.434292185,-0.395913877,0.692958429,0.497947295,-0.637630635,1.919860716,-1.45886106,1.041442392,-0.37294117,-0.608615487401869
-0.80329117,1.33128615787245,-1.656753177,-1.53374656,0.08473334,-0.351159863,-2.511146398,0.47501057,-0.42387546,-0.466406659,-0.659695629,1.409767665,1.886186426,-0.637630635,-1.080139284,-0.11054631,0.6718842844,-0.19975391,-1.27563011343398
-0.56944995,-0.55194226996846,2.043684153,-4.09096529,0.36060464,0.009092182,0.091220209,-0.8658812,0.31554951,-0.916084011,-1.254710575,-0.435879614,1.129712123,0.362369365,0.919860716,0.77854592,-0.2288419231,0.10135934,1.09851169518417
0.09375923,-0.55194226996846,2.512328622,2.24286909,-1.00347,2.730757902,1.895689165,-1.19133634,0.12936304,-0.432639535,-0.546406241,-2.622078711,-1.570088361,-0.637630635,-1.080139284,-0.78413325,-0.5856036755,-0.25436604,1.82459675580009
