,Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,Agreeableness,Openness,GeneralizedThreat,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.Dominance,SDO.Egalitarianism,SystemJustification,CID.SelfInvestment,CID.SelfDefinition,CON.Positive,CON.Negative,CON.Quantity,CON.NumberFriends,CON.Frequency,BeliefJustWorld,Entitativity,RWA.Conservative,RWA.Traditional,RWA.Authoritarian,RacialPosition.Foreign,RacialPosition.Inferior,% MentalHealthProviders,PremmatureDeathRate,RegionalExplicitBias,RegionalImplicitBias
Bias,1,0.6,-0.23,0.38,-0.21,-0.14,0.58,0.45,0.43,0.28,0.08,0.04,0.39,0.38,0.37,0.48,0.44,-0.46,0.47,-0.25,-0.2,-0.25,0.3,-0.17,0.31,0.26,0.29,0.1,0.09,-0.06,0,0.1,0.05
OutgroupAttitudes,0.6,1,-0.22,0.53,0.34,0.16,0.35,0.58,0.17,0.44,0.11,0.13,0.41,0.41,0.3,0.05,-0.03,-0.69,0.66,-0.45,-0.42,-0.43,-0.05,-0.36,0.1,0.06,0.08,0.25,0.1,0.02,0.11,0.04,0.01
NeedForCognition,-0.23,-0.22,1,-0.11,0.17,0.44,-0.16,-0.19,0.05,-0.13,0.12,0.02,-0.09,-0.1,-0.03,-0.15,-0.13,0.12,-0.1,0.23,0.2,0.24,-0.03,0.06,-0.08,-0.09,-0.07,0.04,-0.12,0.08,0,0.01,-0.06
ValuesThreat,0.38,0.53,-0.11,1,-0.12,-0.12,0.35,0.62,0.32,0.45,-0.08,0.07,0.45,0.37,0.21,0.22,0.21,-0.54,0.57,-0.16,-0.07,-0.13,0.2,-0.2,0.27,0.24,0.27,0.06,-0.04,-0.03,0,0.04,-0.02
Agreeableness,-0.21,0.34,0.17,-0.12,1,0.13,-0.14,-0.24,0.04,-0.19,0.3,0.23,-0.1,-0.1,0.21,0.16,0.2,0.3,-0.32,0.16,0.22,0.23,0.21,0.13,0.1,0.12,0.09,0.03,0.09,0.05,0.1,0,0.04
Openness,-0.14,0.16,0.44,-0.12,0.13,1,-0.17,-0.19,-0.08,-0.12,0.1,0.01,-0.16,-0.17,-0.13,-0.07,-0.08,0.17,-0.17,0.18,0.18,0.18,-0.05,0.11,0,0,0.01,-0.09,0,-0.05,0,0.03,0.01
GeneralizedThreat,0.58,0.35,-0.16,0.35,-0.14,-0.17,1,0.51,0.34,0.27,0.12,0.05,0.25,0.3,0.27,0.43,0.41,-0.45,0.46,-0.08,-0.1,-0.12,0.25,-0.06,0.28,0.24,0.25,0.14,0.05,0.02,-0.01,0.06,0.01
SymbolicThreat,0.45,0.58,-0.19,0.62,-0.24,-0.19,0.51,1,0.28,0.38,0,0.07,0.45,0.42,0.16,0.25,0.22,-0.62,0.65,-0.19,-0.15,-0.17,0.12,-0.24,0.3,0.24,0.27,0.09,-0.11,-0.06,0,0.04,0.01
ProtestantWorkEthic,0.43,0.17,0.05,0.32,0.04,-0.08,0.34,0.28,1,0.26,0.2,0.27,0.53,0.49,0.74,0.47,0.46,-0.13,0.17,-0.08,-0.01,0.03,0.72,0.02,0.57,0.48,0.52,0.22,0.18,-0.1,0.08,0.14,0.04
Unpredictability,0.28,0.44,-0.13,0.45,-0.19,-0.12,0.27,0.38,0.26,1,0,0.04,0.3,0.24,0.11,0.2,0.2,-0.47,0.48,-0.22,-0.14,-0.19,0.18,-0.12,0.26,0.18,0.21,0,-0.03,-0.04,0.01,0.08,0.03
Loneliness,0.08,0.11,0.12,-0.08,0.3,0.1,0.12,0,0.2,0,1,0.08,0.1,0.1,0.26,0.21,0.25,0.08,-0.1,0.01,0,0.09,0.26,0.05,0.18,0.16,0.16,0.06,0.04,-0.06,-0.06,0.07,-0.01
Religiosity,0.04,0.13,0.02,0.07,0.23,0.01,0.05,0.07,0.27,0.04,0.08,1,0.22,0.2,0.25,0.25,0.2,0.13,-0.08,0.22,0.23,0.26,0.24,0.15,0.62,0.72,0.61,0.17,0.15,-0.12,0.2,0.2,0.07
SDO.Dominance,0.39,0.41,-0.09,0.45,-0.1,-0.16,0.25,0.45,0.53,0.3,0.1,0.22,1,0.93,0.43,0.28,0.25,-0.28,0.29,-0.12,-0.05,-0.06,0.38,-0.24,0.52,0.46,0.49,0.25,0.01,-0.07,0.11,0.15,0.05
SDO.Egalitarianism,0.38,0.41,-0.1,0.37,-0.1,-0.17,0.3,0.42,0.49,0.24,0.1,0.2,0.93,1,0.44,0.21,0.18,-0.28,0.29,-0.14,-0.1,-0.09,0.38,-0.29,0.5,0.45,0.48,0.31,0.02,-0.06,0.11,0.15,0.07
SystemJustification,0.37,0.3,-0.03,0.21,0.21,-0.13,0.27,0.16,0.74,0.11,0.26,0.25,0.43,0.44,1,0.48,0.49,-0.03,0.05,-0.06,0,0.01,0.82,0.08,0.52,0.43,0.46,0.35,0.31,-0.04,0.03,0.1,0
CID.SelfInvestment,0.48,0.05,-0.15,0.22,0.16,-0.07,0.43,0.25,0.47,0.2,0.21,0.25,0.28,0.21,0.48,1,0.95,-0.05,0.08,0.04,0.09,0.07,0.44,0.27,0.4,0.37,0.37,0.08,0.14,-0.09,0.03,0.1,0.05
CID.SelfDefinition,0.44,-0.03,-0.13,0.21,0.2,-0.08,0.41,0.22,0.46,0.2,0.25,0.2,0.25,0.18,0.49,0.95,1,-0.05,0.08,0.04,0.07,0.06,0.43,0.25,0.37,0.34,0.34,0.09,0.12,-0.1,0.06,0.12,0.05
