Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.3251665,-3.0619561,3.68854402,-1.2769814,5.229812257,-0.627145191,-3.57722378,-0.5879397
-0.3251665,-1.16413892,1.04351344,0.87291571,-0.259548088,0.112426049,-1.0010559,-0.5879397
-1.17968379,0.73367825,-1.27715785,0.27446228,-1.984099078,0.175478362,0.54901527,-0.5879397
-0.3251665,0.73367825,-1.54667779,0.27446228,-0.131471396,0.071297057,-0.01338635,0.4120603
-0.3251665,-0.21523034,-1.37685431,0.51837887,-0.259548088,-1.095851623,-2.29749643,0.4120603
-0.3251665,-0.21523034,-0.65800875,-0.67852797,-0.929708545,-0.150504325,-0.47708144,-0.5879397
0.52935079,-1.16413892,0.73082517,-0.67852797,2.805323814,-1.44339502,-0.13894593,-0.5879397
-1.5734339,1.37028434,-1.60151713,0.14116593,-1.599869002,0.605479766,2.13359002,3.4120603
1.69302772,-1.83559925,1.83379141,0.03054569,-0.003394704,0.328365313,-0.74742525,0.4120603
-0.3251665,1.68258684,-0.36191354,-0.2133709,-0.259548088,-0.375920172,0.4670219,-0.5879397
-0.3251665,0.86224315,-1.54667779,0.16384204,0.124681988,-0.720892315,-0.06864275,-0.5879397
-0.71891662,0.42137576,-1.43169365,-0.43461138,-1.057785237,-0.154565704,1.14329291,-0.5879397
0.52935079,-1.16413892,1.88863074,-0.10275066,1.080772825,-0.501133019,-0.3130947,-0.5879397
-0.3251665,2.63149543,-1.7111958,0.62899912,-0.259548088,1.074616532,2.13096246,0.4120603
-0.17355897,1.04598075,-0.53173701,0.87291571,-0.259548088,0.442331177,1.27399154,2.4120603
-0.42164615,-1.17614002,0.01091954,0.38508252,-0.131471396,1.476190966,0.28632199,1.4120603
0.99011796,1.09283608,-0.75639983,0.87291571,1.080772825,1.501664722,1.95932518,-0.5879397
-0.71891662,0.73367825,-0.82783223,0.51837887,-0.929708545,-0.222865811,0.15311188,-0.5879397
-0.3251665,2.63149543,-1.38215978,0.51837887,-0.259548088,1.180400113,2.13096246,0.4120603
-0.3251665,-0.21523034,-0.02626667,0.27446228,-0.259548088,-0.675120582,0.28118294,-0.5879397
-1.33129132,1.01112651,-0.75639983,-0.67852797,-0.259548088,-0.051662599,0.3298882,2.4120603
0.52935079,-1.16413892,0.15884449,0.27446228,1.336926209,-0.392873609,-1.12912697,-0.5879397
-0.3251665,1.68258684,-1.65635646,0.03054569,-0.929708545,-1.097894903,1.01522185,-0.5879397
0.2872082,0.14392749,0.25854095,0.27446228,-0.131471396,-0.004375522,0.28118294,-0.5879397
1.14172548,-0.21523034,-0.36321892,0.27446228,-0.259548088,-0.335026691,1.49311861,-0.5879397
1.5354756,-2.39049577,2.04186116,-1.2769814,-0.771854856,-0.190856664,-0.70899809,-0.5879397
-0.78593367,0.37452042,0.38481268,0.51837887,-1.057785237,0.410561655,0.66288466,0.4120603
1.5354756,-0.4926786,2.30501557,0.03054569,1.879009974,1.506797633,-1.52503036,-0.5879397
-0.3251665,2.63149543,-0.36191354,-0.78914821,-4.634963908,1.29508765,0.50293757,-0.5879397
2.02570537,-0.85183643,2.91485911,0.62899912,5.357888949,0.024485106,-0.267017,-0.5879397
-0.08302391,-0.57438816,-1.26187017,0.27446228,0.124681988,0.076178198,0.54901527,-0.5879397
-0.3251665,0.09707216,0.63243409,-0.32399114,-0.259548088,-0.435761204,0.63100864,-0.5879397
-2.03420107,1.68258684,-1.54667779,-1.2769814,-2.940189915,-1.0687715,2.17452867,1.4120603
-0.56730909,0.14392749,-1.19043777,-0.43461138,-0.259548088,-0.710665333,1.01271035,0.4120603
-0.3251665,0.45622999,0.93383477,-0.32399114,-2.526182842,-0.523662787,-0.30544416,0.4120603
-0.3251665,-0.21523034,1.15849759,0.51837887,1.908786971,0.101529618,0.15311188,-0.5879397
0.52935079,-1.16413892,0.36821962,-0.56790773,0.410612368,0.486274618,1.23042533,1.4120603
-0.3251665,-0.13352077,-1.49183846,-0.67852797,-0.003394704,-1.203578607,1.01271035,0.4120603
0.52935079,-1.16413892,1.94347008,-0.92244456,-0.259548088,0.124152217,-0.45285596,-0.5879397
1.38386807,-1.16413892,2.76562878,-0.2133709,-1.599869002,1.254837821,-1.0010559,-0.5879397
-0.3251665,-1.16413892,1.43799973,-0.08007455,-0.259548088,-0.570634662,-1.22532202,0.4120603
1.14172548,-0.4926786,1.47755139,0.27446228,0.410612368,0.561903805,-1.16755413,0.4120603
-2.03420107,1.68258684,-1.7111958,0.38508252,-0.929708545,-0.780272237,1.70318305,-0.5879397
0.43881572,-0.77012686,1.03222585,-1.03306481,2.007086666,1.148957718,-1.7350948,-0.5879397
-0.71891662,1.37028434,-0.53173701,-0.67852797,-1.856022386,-0.350357398,0.88715078,-0.5879397
-0.3251665,-0.21523034,-1.54667779,0.27446228,-0.131471396,-0.624132992,1.87482032,0.4120603
-2.03420107,2.63149543,-1.7111958,0.27446228,-0.259548088,-0.166393092,1.96195274,2.4120603
-0.3251665,2.63149543,0.98867411,-0.56790773,-0.259548088,1.873467662,1.70318305,-0.5879397
-1.64045096,2.63149543,-1.7111958,0.51837887,-1.599869002,0.344267557,2.21809488,2.4120603
-1.42182638,2.63149543,-1.7111958,0.51837887,-1.057785237,1.315856193,2.00289139,0.4120603
-0.85295072,1.40513857,-1.60151713,0.03054569,-0.131471396,0.886980255,0.84872362,0.4120603
-0.3251665,1.68258684,-1.48653299,0.87291571,2.007086666,-0.014408293,1.18685912,0.4120603
-0.3251665,-0.21523034,0.14355681,0.62899912,-0.259548088,-0.066997411,0.19918958,-0.5879397
0.77743796,-1.00325446,2.36091496,-0.56790773,1.080772825,-0.117247973,-2.34106263,-0.5879397
-0.71891662,0.42137576,-0.51514395,0.38508252,0.666765752,-0.299313029,0.19918958,-0.5879397
-0.3251665,2.63149543,-1.7111958,0.27446228,-0.259548088,-1.020372914,1.71346114,3.4120603
3.94741993,-3.0619561,3.68854402,0.87291571,2.135163358,1.240992643,-2.1309982,-0.5879397
-0.3251665,2.63149543,-1.7111958,0.38508252,-0.259548088,2.012653255,1.44704091,-0.5879397
-0.3251665,2.63149543,-1.7111958,0.87291571,-0.259548088,0.861436846,2.13096246,0.4120603
-1.39830837,0.68682292,-1.60151713,0.87291571,-2.141952766,-0.945959816,-0.09537972,0.4120603
-0.3251665,-0.21523034,-1.54667779,0.27446228,-0.259548088,-0.541016613,-1.08556076,0.4120603
-0.3251665,0.73367825,-0.75639983,-0.43461138,-2.526182842,-0.449200033,-0.45285596,-0.5879397
0.2872082,-0.44582327,0.04916581,0.14116593,1.080772825,0.598131062,-0.05695256,-0.5879397
-0.3251665,-0.21523034,-0.70156049,-0.32399114,-0.259548088,-0.242586201,-0.53484933,-0.5879397
0.2872082,0.73367825,0.5380431,0.14116593,-1.856022386,-0.133130882,0.80515741,-0.5879397
0.52935079,-1.16413892,1.57594247,0.27446228,-0.259548088,-0.241694322,-1.0010559,-0.5879397
-0.3251665,-0.21523034,0.26490648,0.87291571,-0.259548088,-0.597942195,-0.13894593,-0.5879397
-1.17968379,1.68258684,-1.26187017,0.27446228,-1.599869002,-0.57575333,0.88715078,-0.5879397
-0.3251665,0.09707216,-1.60151713,0.87291571,-1.185861929,-0.57575333,1.57511198,-0.5879397
1.83869066,-2.39049577,1.39444799,0.27446228,2.805323814,1.303490631,-2.97125594,-0.5879397
-0.3251665,0.72167715,-0.70156049,0.87291571,-0.259548088,0.372340611,1.35335735,-0.5879397
0.15911868,0.01536259,0.14355681,0.27446228,-1.057785237,0.587877202,0.24275578,0.4120603
-0.3251665,-0.88669066,1.34491413,0.14116593,-0.131471396,-0.786664809,-0.05695256,-0.5879397
-0.3251665,-0.21523034,0.98867411,0.38508252,-0.259548088,-0.1471244,0.19918958,-0.5879397
-0.17355897,-0.85183643,-0.1525384,-0.2133709,0.53868906,-1.208763626,-0.79099146,-0.5879397
0.2872082,-0.21523034,0.40010036,0.51837887,2.805323814,-0.54234083,0.15311188,-0.5879397
-2.03420107,1.68258684,-0.75639983,-0.2133709,-0.259548088,-0.57575333,1.36504754,-0.5879397
1.66356512,-1.80074502,1.02055485,-0.32399114,1.494779898,0.321146829,-2.37948979,0.4120603
-0.3251665,0.37452042,-0.2356418,0.14116593,-3.452496683,-0.2069843,0.07111851,-0.5879397
0.37774326,-0.21523034,-0.64672116,0.62899912,-0.259548088,0.595095455,-0.70134755,0.4120603
-0.3251665,-0.21523034,-0.60953494,0.27446228,-1.727945694,-0.417555121,0.93322848,-0.5879397
-0.3251665,0.73367825,-0.75639983,-0.2133709,-0.259548088,-0.370613649,0.09045924,0.4120603
-2.03420107,1.68258684,-0.13594534,0.87291571,-2.270029458,-0.076236457,1.23042533,1.4120603
-0.78593367,-0.21523034,1.92687702,0.87291571,0.410612368,-1.13007716,-2.76119151,-0.5879397
-0.56730909,0.42137576,-0.09769907,0.27446228,1.465002901,-0.658110312,-0.09537972,0.4120603
3.55366982,-3.0619561,3.44728814,-0.92244456,3.347407579,1.345870896,-3.57722378,-0.5879397
-1.02807626,2.35404716,-1.7111958,0.87291571,-0.259548088,-0.312805085,2.26166108,3.4120603
0.52935079,-1.16413892,-0.23033633,-0.67852797,1.879009974,-0.433408699,-0.65526985,0.4120603
-0.10654192,0.42137576,0.6094755,0.62899912,-0.131471396,-0.527334539,-1.3508816,-0.5879397
1.63789984,-0.92154489,-0.01097899,-0.2133709,-0.259548088,-0.214644191,0.11468471,0.4120603
-0.3251665,-0.21523034,-1.54667779,0.51837887,-0.259548088,-1.327797786,0.05942832,-0.5879397
1.84463524,-1.16413892,1.03222585,-0.92244456,2.421093738,0.087055384,-1.81708817,-0.5879397
0.13560067,0.09707216,-1.11263984,0.27446228,-2.270029458,0.30520268,0.19918958,-0.5879397
0.52935079,0.73367825,-0.70156049,0.87291571,-1.313938621,-1.185393658,0.24275578,0.4120603
1.14172548,0.14392749,0.43965202,-0.2133709,-0.259548088,-1.040961271,0.07111851,-0.5879397
-0.17355897,-0.21523034,-0.46030462,-0.78914821,-0.259548088,0.678037263,0.33895083,-0.5879397
