Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
1.64178257,-0.71371383,0.66273761,0.48418529,0.05658673,1.0146914176,0.0347024,-0.2081448
2.99112876,-2.87875756,-0.419025927,-0.11830263,-1.3099385,0.9540126898,-0.7664808,-0.2081448
0.69367227,-0.71371383,0.273970317,0.30015361,-1.46972143,0.1774953322,0.53681915,-0.2081448
4.81356269,-3.61917288,-0.419025927,-0.11830263,-2.15298404,0.0945984434,-0.95842886,-0.2081448
-3.09876894,0.25477253,-0.419025927,-0.11830263,-2.15298404,-0.9578219887,-0.57453274,-0.2081448
1.64178257,-1.68220018,2.179266377,-0.11830263,-0.46689295,0.6739125558,-0.67050677,-0.2081448
0.65605777,-0.52691111,2.421881231,-0.90482223,0.58006641,-0.696237721,0.0582452,1.7918552
-3.09876894,2.19174523,0.150286276,-0.90482223,-1.67363525,-1.1490385579,1.92494875,-0.2081448
-2.15065863,2.19174523,-0.310698981,-0.67039767,-2.83624666,0.425483351,0.42974289,-0.2081448
-1.93123344,0.0679698,-0.419025927,-0.90482223,-3.51950927,-3.8291366357,-0.57453274,-0.2081448
1.71556925,-0.94178485,-0.382916945,-0.69559411,0.42028348,0.7201323657,-0.86245483,-0.2081448
-1.93123344,1.03645616,1.136043247,-0.90482223,-0.94624175,-0.4931590459,0.32266663,-0.2081448
2.04301846,-0.71371383,-0.419025927,0.50938173,4.04051037,1.2838983673,-0.95842886,-0.2081448
3.13676728,-1.45412915,-0.310698981,0.90264153,-2.72059462,1.2865467627,-0.46741435,-0.2081448
0.14679786,0.0679698,2.306369632,0.30015361,-3.04016048,0.2997858129,0.0347024,-0.2081448
0.58564825,-0.53370666,0.547226011,-0.90482223,-0.78645882,-1.3882008163,-0.57453274,-0.2081448
-2.15065863,1.22325888,-0.419025927,0.09092549,-0.78645882,-0.8980523984,-0.57453274,-0.2081448
1.02112148,-0.71371383,-0.382916945,-0.11830263,-2.67646373,0.7133337813,-0.67050677,-0.2081448
-1.93123344,-0.71371383,-0.346807963,-0.48636599,-2.15298404,-2.6090180592,0.2266926,-0.2081448
0.18441236,0.71091458,-0.419025927,0.50938173,-2.15298404,0.645256715,0.83596988,-0.2081448
2.04301846,-0.71371383,-0.419025927,0.90264153,1.94659164,1.275953181,-0.95842886,-0.2081448
-1.74942274,1.9636742,-0.274589999,-0.11830263,-0.26297913,-1.3856603457,0.1195742,-0.2081448
-1.64139872,0.62837797,-0.310698981,-0.48636599,-0.78645882,-0.0411386794,0.71766497,-0.2081448
1.60416807,-0.94178485,-0.159078401,0.69341341,-0.1031962,0.1922736913,0.23775269,-0.2081448
4.34047496,-2.13834223,-0.122969419,0.48418529,-6.13690769,1.2918435536,-0.95842886,-0.2081448
3.31857798,-2.4226155,-0.419025927,0.90264153,-2.72059462,0.7592995261,-0.46741435,-0.2081448
0.36622306,-0.16010122,-0.419025927,-0.30233431,1.26332903,1.1928194232,-0.46741435,-0.2081448
2.58989287,-0.71371383,-0.419025927,0.90264153,1.94659164,1.2891951582,-0.67050677,-0.2081448
-0.58188725,0.80838513,-0.419025927,-0.90482223,-3.88320602,-0.6051905273,-0.37144032,-0.2081448
-1.20254833,0.25477253,-0.419025927,-0.30233431,-0.78645882,-0.601969051,-0.37144032,-0.2081448
0.69367227,-2.65068653,-0.419025927,-1.08885391,-3.51950927,-2.3188014607,-0.86245483,-0.2081448
-0.25443803,2.19174523,2.543516345,0.48418529,-0.78645882,-0.0786292539,0.32266663,-0.2081448
1.49614406,-1.12858757,-0.419025927,0.09092549,0.42028348,1.2812499718,-0.86245483,-0.2081448
-1.93123344,2.00494251,-0.419025927,0.50938173,4.2002933,1.0878044156,-0.26436406,-0.2081448
0.69367227,1.22325888,4.339756736,0.06572904,1.94659164,1.1342898945,2.41286425,5.7918552
-1.20254833,-0.71371383,-0.382916945,-0.30233431,-2.67646373,-1.9917967119,-0.46745648,-0.2081448
2.58989287,-0.71371383,-0.310698981,0.50938173,1.94659164,1.235727794,-0.07237386,-0.2081448
0.03877384,1.36199773,-0.419025927,0.90264153,2.31028839,0.0068322728,0.33368458,-0.2081448
-0.98312314,0.0679698,-0.274589999,-0.30233431,-0.78645882,-0.9080793404,0.84686142,-0.2081448
2.15104248,-0.52691111,3.977938194,0.48418529,3.15333394,0.7673320921,1.8872047,3.7918552
0.47424707,1.22325888,0.475008048,0.69341341,3.88072744,-0.4453029403,-0.56338837,-0.2081448
0.47424707,-0.71371383,-0.382916945,0.30015361,1.26332903,-0.4277814351,-0.86245483,-0.2081448
0.69367227,-0.71371383,-0.419025927,0.30015361,0.58006641,0.9563221904,0.51461468,-0.2081448
2.04301846,0.0267015,-0.419025927,0.30015361,1.42311196,1.1883303395,-0.67050677,-0.2081448
