Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.39062986,-0.61645683,0.770098891,0.33980388,0.5,-0.1143497677,-0.28702747,1.168604666
0.19690492,-0.76025805,2.405187685,0.42721678,3,0.2615814962,-0.724716606,-0.831395334
1.4721961,-0.47265561,-0.580668664,0.42721678,-1.5,1.3396493851,0.335534671,-1.831395334
-0.8167266,1.16817975,-1.467492919,0.04845487,0,-0.6240564007,0.452828332,-0.831395334
-0.8167266,-0.76025805,-1.381303172,0.16497807,0,-0.2486253345,0.313690213,1.168604666
2.23017045,-0.90405927,-0.630343695,-0.21378383,-2.5,1.1528753588,-0.704327659,-0.831395334
-2.25645488,0.56785708,-1.568962467,-1.43748245,0,-0.6637936895,1.011860883,-0.831395334
0.62000261,-1.72447694,0.59590632,-0.03895803,1,0.3595511387,-1.246774464,-0.831395334
-1.03127451,1.02437853,0.214226638,-0.03895803,-3,-0.1665586243,0.57939211,1.168604666
-0.8167266,-0.61645683,1.149085327,-0.59254574,0,-0.047730001,0.104859748,2.168604666
4.77175127,-3.65291474,3.395164515,-0.03895803,2.5,1.0012588797,-2.222082637,2.168604666
-0.8167266,2.13239864,1.525376688,-0.21378383,0,0.574340468,0.148996803,-1.831395334
3.84033829,-2.68869584,4.478091359,0.25239097,5,1.3856869364,-1.981419482,-1.831395334
-0.8167266,1.16817975,-1.267161258,0.04845487,0,0.27691203,0.402403828,0.168604666
-0.09686247,0.50412218,-1.462513976,0.04845487,-8,1.0875162127,1.067788317,-1.831395334
3.37313227,-2.68869584,1.311379264,-0.12637093,0,0.7050332807,-1.316173137,-1.831395334
-1.49548147,1.98859742,-1.568962467,0.04845487,-4,-0.9805305764,1.260988451,1.168604666
4.77175127,-3.65291474,1.110082601,0.16497807,8,1.4233257643,-2.169287294,-1.831395334
1.51330538,-0.3162955,0.442647384,0.42721678,0,0.9661205085,1.061688454,1.168604666
2.23017045,-1.86827816,2.179413983,-0.59254574,-2,0.1565633861,-1.044646454,-0.831395334
-0.8167266,2.13239864,-1.60210897,-0.12637093,-3,0.4709124986,1.295783557,1.168604666
-0.8167266,-0.46009671,3.339091704,0.42721678,-0.5,0.4904936274,0.933252562,1.168604666
-0.8167266,2.13239864,-1.568962467,-0.21378383,0,-0.7835616729,1.028907937,1.168604666
2.90892531,-3.65291474,0.864119182,0.42721678,5,0.5035376228,-1.489909456,-1.831395334
-0.77561733,1.98859742,-1.467492919,0.16497807,0,-1.308315051,1.194841768,1.168604666
-0.8167266,-0.76025805,-0.997973743,-1.35006955,0.5,-0.475549505,0.453223926,1.168604666
-0.8167266,-0.76025805,1.409513722,-0.41771993,-0.5,-0.6161375497,-1.054243609,-1.831395334
-0.05275413,-0.76025805,-0.022910333,0.42721678,0,0.973814832,0.78023873,-1.831395334
-0.05875226,-0.76025805,3.463178499,-0.50513284,0.5,1.3908347715,0.340329495,2.168604666
-0.8167266,2.13239864,1.234575288,-0.03895803,0,-0.7714036701,1.170424009,2.168604666
-0.8167266,2.13239864,-1.360880596,-0.12637093,-2.5,0.0760075162,1.178306482,2.168604666
4.77175127,-3.65291474,3.922914732,0.42721678,8,1.422025967,-1.02276183,-0.831395334
-0.34952058,0.34776207,-1.021735317,0.16497807,-0.5,-0.7814673433,0.349690283,0.168604666
-5.4737915,2.13239864,-1.568962467,-1.43748245,-7,-1.6837459537,1.297000757,3.168604666
0.83754958,-0.47265561,0.525985383,0.04845487,0,0.0273533723,0.528053792,-0.831395334
-0.39062986,1.31198096,-0.59619292,0.04845487,0.5,0.9700886922,0.938605112,-0.831395334
-0.8167266,-0.76025805,0.255566926,0.42721678,0,1.0905132827,0.677549991,-1.831395334
1.04609936,0.20396085,-0.4193129,-0.03895803,-0.5,1.1100272548,0.292109484,1.168604666
-1.96268749,0.72421719,0.801236647,0.33980388,-3,-0.0457802008,0.822950486,0.168604666
