Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.60665066,1.79067754,-0.89648356,0.81417553,0.106770003,-0.167558031,0.203583991,-0.238636359
-0.31136103,0.02849711,-0.849220947,-0.03326071,-0.493442268,-1.036346131,0.807157373,-0.238636359
-0.60665066,0.8141305,0.993388225,0.64406358,-0.307070777,0.800972949,-0.973436373,-0.238636359
-0.83896634,0.80665161,-0.943746173,0.0502335,-2.004247395,0.006518545,1.093880864,-0.238636359
-0.21988471,0.8141305,-0.943746173,0.30383967,-0.700362658,2.499932017,1.984177736,-0.238636359
-0.28285866,0.22424406,-0.281158776,0.22034546,0.106770003,-0.869011504,0.325067461,-0.238636359
1.25059423,0.02849711,0.322766684,-0.79720274,-0.100150387,0.027617295,1.093880864,-0.238636359
-0.60665066,0.22424406,-0.526893071,0.0502335,-2.707919862,1.371057545,0.094930223,0.761363641
1.43354688,-0.75230298,0.124295003,0.39045741,0.106770003,1.307891387,-1.094919843,-0.238636359
-0.60665066,2.76722458,-0.89648356,-0.20337267,0.106770003,0.70624219,1.984177736,-0.238636359
-0.60665066,0.41032443,-0.849220947,0.81417553,0.106770003,-1.247754201,1.984177736,-0.238636359
-0.60665066,-0.16241654,1.004036637,-0.62709079,0.106770003,-0.850873494,-1.047319325,-0.238636359
0.10390729,-0.94321663,-0.801958333,-0.11987845,0.106770003,-0.172045623,0.446550931,-0.238636359
-0.68451607,1.59976388,-0.849220947,0.30383967,-2.790831158,-0.776189091,-0.925835855,-0.238636359
-0.69812699,-1.33471053,0.095714946,-1.39103282,-1.09365454,-2.395639581,-1.138676394,-0.238636359
-0.60665066,-0.16241654,1.231839286,-0.96731469,-0.389982073,0.458259826,-0.443745942,-0.238636359
-0.60665066,1.79067754,-0.849220947,-0.62709079,0.106770003,-2.280401845,1.215364334,-0.238636359
-1.31720862,0.8141305,-0.566872451,0.81417553,0.106770003,0.932097645,0.733949191,2.761363641
-0.93044267,0.22424406,-0.801958333,0.39045741,0.106770003,-0.099735023,0.325067461,-0.238636359
-0.60665066,2.76722458,0.066383978,-0.37348462,0.106770003,-0.645890146,1.215364334,-0.238636359
1.27909661,-0.16241654,0.30558595,-0.11987845,0.106770003,0.77372753,-0.035538982,-0.238636359
1.27909661,-0.16241654,1.058582483,0.81417553,0.003309808,0.597327658,0.325067461,-0.238636359
-0.1420193,-0.35816349,0.435974467,-1.39103282,0.210230198,0.070163164,-1.455526285,-0.238636359
-0.19138234,-0.3533302,1.466925169,0.22034546,1.307194545,0.88930907,-0.491346461,-0.238636359
-0.60665066,-0.16241654,-0.508961426,-0.11987845,-1.900787201,-0.217734537,-0.686712882,-0.238636359
0.9553046,-0.16241654,1.98558673,0.47395162,2.921459867,2.145086578,1.984177736,-0.238636359
-0.60665066,-0.16241654,0.323517595,0.0502335,0.106770003,0.454834205,0.902358409,-0.238636359
-0.21988471,-0.16241654,-0.89648356,-0.28999041,0.603522079,-1.493814139,0.155983472,-0.238636359
-0.05054298,-0.16241654,-0.22661293,0.22034546,0.003309808,-0.436957158,0.203583991,-0.238636359
-0.60665066,0.21941077,-0.66868091,0.30383967,-2.790831158,-0.16343627,1.093880864,-0.238636359
-0.21988471,1.79067754,-0.849220947,0.64406358,-0.493442268,0.024536513,1.093880864,-0.238636359
1.27909661,-0.35816349,-0.89648356,0.22034546,-0.410530972,-0.656792841,0.685673903,-0.238636359
-0.60665066,2.76722458,-0.991008786,-0.96731469,0.106770003,-0.309634331,1.984177736,-0.238636359
-0.60665066,-0.16241654,-0.943746173,0.81417553,0.106770003,0.0808456,2.097350242,1.761363641
-0.83896634,-0.16241654,-0.89648356,-0.11987845,-0.700362658,-0.219104324,-0.035538982,-0.238636359
0.10390729,0.22907735,-0.849220947,-0.28999041,0.106770003,0.461146882,0.446550931,-0.238636359
3.10186993,-3.09205766,0.548431338,-0.37348462,0.624070977,-1.174282694,-3.236120031,-0.238636359
-0.31136103,-0.75713627,-0.801958333,0.64406358,-2.811380056,-0.172025566,-0.686712882,-0.238636359
0.24474665,-0.35816349,0.095714946,-0.79720274,0.106770003,0.805214548,-0.443745942,-0.238636359
-0.60665066,-0.16241654,0.048452333,0.22034546,-0.596902463,0.497477185,0.203583991,-0.238636359
-3.2808213,2.76722458,-0.849220947,-0.11987845,0.106770003,-2.032820511,1.575970776,-0.238636359
-2.10563198,-0.16241654,-0.89648356,-0.96731469,-2.811380056,-2.071629271,-0.0831395,-0.238636359
-0.60665066,0.8141305,-0.89648356,-0.79720274,0.106770003,-0.650421323,-0.0831395,-0.238636359
-1.5495243,-0.16241654,-0.707433107,0.47395162,0.106770003,-1.293875947,1.215364334,-0.238636359
-0.28285866,-0.16241654,-0.006093514,0.22034546,0.293141494,-0.415590915,-0.322262472,-0.238636359
