Bias,OutgroupAttitudes,SymbolicThreat,ValuesThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.11180619,1.907891028,-0.74885049,-1.03133343,-0.27355326,0.2376141375,2.3054458512,0.98518494,1.37219731
-0.11180619,-0.384341592,-0.62864328,-1.03133343,-0.11530439,0.2376141375,0.1968335224,-1.44962931,-1.62780269
2.85802866,-1.974576365,-0.04835942,0.37508811,-0.11530439,-5.7194278687,0.6497402369,-1.85661957,-1.62780269
-0.11180619,-1.003959517,0.43573383,-1.25066468,-1.51501989,0.7686819707,-1.0046268094,0.27324359,-0.62780269
-0.11180619,-0.033342669,0.23141043,-0.27328985,-0.20055989,0.2376141375,-0.1753606326,0.13763538,1.37219731
-0.11180619,1.907891028,-0.70878142,-1.25066468,0.96791338,0.2376141375,0.5718442653,0.95963374,0.37219731
-0.11180619,1.907891028,-0.58658518,2.22017215,0.34718006,-0.2934536957,1.0635230128,0.49130067,-0.62780269
-0.11180619,0.93727418,-0.70878142,-0.27328985,0.11593783,0.2376141375,-0.2579673261,0.93408253,-0.62780269
-0.11180619,-1.003959517,1.1315332,0.48475373,-0.20055989,0.2376141375,0.0237698462,0.29879479,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.1255288,0.2376141375,-1.0282293087,0.93408253,-0.62780269
0.87813876,-0.343151631,-0.09041751,-0.27328985,-0.59005098,-3.5951565361,-0.1058236884,0.24546982,-1.62780269
-2.0916961,-0.033342669,-0.74885049,-1.03133343,-0.27355326,-3.3584465799,-2.6089268501,0.46574947,-1.62780269
1.86808371,-1.974576365,1.33187856,2.75888448,-1.28377766,2.4195333909,1.0457595546,-0.34378593,-1.62780269
1.86808371,-1.003959517,0.2714795,0.26542248,0.11593783,1.0630398476,1.2584886904,-1.20379845,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.51501989,-3.0640887029,-1.3738236852,0.27102102,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.34718006,-1.4132372827,-1.310408718,0.93408253,-0.62780269
-0.10111391,0.705254514,0.64743995,3.73625931,-0.11530439,-4.1262243692,-0.8540958915,-0.55097734,0.37219731
0.20839316,0.276466294,-0.74885049,-1.03133343,0.96791338,0.2376141375,0.5364139941,0.93408253,-0.62780269
-1.06171196,1.169293845,-0.54452709,-1.03133343,-0.59005098,-4.4205822462,-0.1580645697,0.98518494,1.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-0.50479548,0.2376141375,-0.1492598111,-0.27220274,-1.62780269
-0.11180619,-1.003959517,-0.66871235,1.35246294,0.34718006,0.2376141375,-0.194798227,-0.76101659,-0.62780269
0.56863169,0.276466294,-0.13048658,1.24279732,0.96791338,3.244959101,0.8966644439,0.32212343,1.37219731
-0.11180619,1.907891028,-0.25608749,-0.16362422,-0.11530439,0.2376141375,2.3138779448,0.93408253,-0.62780269
0.87813876,-0.033342669,-0.62864328,-1.03133343,0.27418669,0.2376141375,1.2366402664,-0.35624889,-0.62780269
-0.11180619,-0.033342669,-0.62665425,0.48475373,0.34718006,1.0630398476,0.4720348919,-0.57652854,-0.62780269
0.60867087,-0.462130889,1.79195521,2.86855011,0.11593783,-0.5878115726,0.2265050957,-0.57652854,-0.62780269
-1.10175114,1.169293845,-0.74885049,-1.03133343,0.34718006,-1.4132372827,-0.2317455456,0.95963374,0.37219731
-0.11180619,-0.033342669,0.23141043,-0.27328985,0.57842229,0.2376141375,0.6715376643,-0.55097734,0.37219731
-2.08100382,1.907891028,-0.54850513,2.43950341,0.96791338,-4.1262243692,-0.6905742307,0.71380288,-0.62780269
